tanggal,lokasi,nilai_spi
2013-08,"107.6047,-6.8586",-0.4733076317522753
2013-09,"107.6047,-6.8586",-0.6684176015725687
2013-10,"107.6047,-6.8586",-0.7066186709117066
2014-02,"107.6047,-6.8586",-0.0554153780782194
2014-04,"107.6047,-6.8586",0.7286460373082049
2014-05,"107.6047,-6.8586",0.9329046567044488
2014-06,"107.6047,-6.8586",0.4812137782878721
2014-07,"107.6047,-6.8586",-0.0569275343795117
2014-08,"107.6047,-6.8586",-0.5755034531374046
2014-09,"107.6047,-6.8586",-0.795496559962879
2014-10,"107.6047,-6.8586",-1.0746205927501775
2015-05,"107.6047,-6.8586",-0.8348264239182615
2015-06,"107.6047,-6.8586",-0.8273220086917757
2015-08,"107.6047,-6.8586",-0.9087548715494168
2015-10,"107.6047,-6.8586",-1.14220501687849
2015-11,"107.6047,-6.8586",-0.5885207574610348
2016-02,"107.6047,-6.8586",0.0199228228599419
2016-03,"107.6047,-6.8586",0.6994039616296996
2016-05,"107.6047,-6.8586",0.8611170839287109
2016-06,"107.6047,-6.8586",0.6705549046794395
2016-08,"107.6047,-6.8586",0.2116267319885821
2016-09,"107.6047,-6.8586",0.5259154936312769
2017-01,"107.6047,-6.8586",0.6730137318678757
2017-03,"107.6047,-6.8586",1.0386886320898103
2017-04,"107.6047,-6.8586",0.9565452960207091
2017-05,"107.6047,-6.8586",1.0080911809289832
2017-06,"107.6047,-6.8586",0.6766473112280951
2017-07,"107.6047,-6.8586",-0.1759713009614089
2017-10,"107.6047,-6.8586",-0.0408632996329907
2017-12,"107.6047,-6.8586",0.3871670078116609
2018-04,"107.6047,-6.8586",0.8810142518817613
2018-05,"107.6047,-6.8586",0.5101933615126734
2018-06,"107.6047,-6.8586",-0.1201810894699661
2018-07,"107.6047,-6.8586",-0.7289899993037748
2018-08,"107.6047,-6.8586",-1.106199242333883
2018-10,"107.6047,-6.8586",-1.0155939093245794
2018-11,"107.6047,-6.8586",-0.0569460787122594
2018-12,"107.6047,-6.8586",0.5906222297745647
2019-05,"107.6047,-6.8586",0.714416191984679
2019-07,"107.6047,-6.8586",-0.2315057798966755
2019-08,"107.6047,-6.8586",-0.8914255579291346
2019-09,"107.6047,-6.8586",-1.200611130115265
2019-10,"107.6047,-6.8586",-1.1461442354573064
2019-11,"107.6047,-6.8586",-0.7675463355056119
2020-01,"107.6047,-6.8586",-0.2774387455140926
2020-04,"107.6047,-6.8586",0.349005529307579
2020-05,"107.6047,-6.8586",0.8993278924137398
2020-06,"107.6047,-6.8586",0.4926477927076369
2020-07,"107.6047,-6.8586",-0.0389155618696152
2020-08,"107.6047,-6.8586",-0.8822967299286797
2020-09,"107.6047,-6.8586",-0.6359309836391865
2020-12,"107.6047,-6.8586",0.019571539776977
2021-04,"107.6047,-6.8586",0.523448421500564
2021-05,"107.6047,-6.8586",0.8355534693262756
2021-07,"107.6047,-6.8586",0.0773066653103851
2021-08,"107.6047,-6.8586",-0.3683311079069964
2021-11,"107.6047,-6.8586",0.4803845162161252
2022-03,"107.6047,-6.8586",1.1545638460278236
2022-07,"107.6047,-6.8586",1.291559319605647
2022-08,"107.6047,-6.8586",-0.0275520712620565
2022-09,"107.6047,-6.8586",-0.1877181920258679
2013-08,"107.6039,-6.8556",-0.4995683442442478
2013-09,"107.6039,-6.8556",-0.6945351338083302
2013-10,"107.6039,-6.8556",-0.7327081695267335
2014-02,"107.6039,-6.8556",-0.0819827582407611
2014-04,"107.6039,-6.8556",0.7015032784787321
2014-05,"107.6039,-6.8556",0.9056120039383132
2014-06,"107.6039,-6.8556",0.4542525961060407
2014-07,"107.6039,-6.8556",-0.0834938048554145
2014-08,"107.6039,-6.8556",-0.6016891698518517
2014-09,"107.6039,-6.8556",-0.8215208360834451
2014-10,"107.6039,-6.8556",-1.1004400354090509
2014-12,"107.6039,-6.8556",-0.1434517265614477
2015-05,"107.6039,-6.8556",0.5401232788133481
2015-06,"107.6039,-6.8556",-0.4355682792633332
2015-08,"107.6039,-6.8556",-0.9346960337517864
2015-10,"107.6039,-6.8556",-1.167974863121703
2015-11,"107.6039,-6.8556",-0.6146969215064413
2016-01,"107.6039,-6.8556",-0.2135472090944213
2016-02,"107.6039,-6.8556",0.3610485959835169
2016-05,"107.6039,-6.8556",0.5226430460982988
2016-06,"107.6039,-6.8556",0.5390680750515306
2016-08,"107.6039,-6.8556",0.1848633846093281
2016-09,"107.6039,-6.8556",0.4989215073694601
2017-01,"107.6039,-6.8556",0.6459117984649758
2017-03,"107.6039,-6.8556",1.011318350401316
2017-04,"107.6039,-6.8556",0.929235294716222
2017-05,"107.6039,-6.8556",0.9807433529925992
2017-06,"107.6039,-6.8556",0.6495427113452391
2017-07,"107.6039,-6.8556",-0.2024502118984053
2017-10,"107.6039,-6.8556",-0.0674413587491611
2017-12,"107.6039,-6.8556",0.3602748412762622
2018-04,"107.6039,-6.8556",0.8537596785713517
2018-06,"107.6039,-6.8556",0.1884803777305982
2018-07,"107.6039,-6.8556",-0.5388982307167208
2018-08,"107.6039,-6.8556",-1.1319955111941928
2018-10,"107.6039,-6.8556",-1.0414566683535178
2018-11,"107.6039,-6.8556",-0.0835123355795171
2018-12,"107.6039,-6.8556",0.5635807588707887
2019-05,"107.6039,-6.8556",0.6872838756400322
2019-07,"107.6039,-6.8556",-0.2579439371964805
2019-08,"107.6039,-6.8556",-0.917379437142154
2019-09,"107.6039,-6.8556",-1.2263381153900448
2019-10,"107.6039,-6.8556",-1.1719111909290951
2019-11,"107.6039,-6.8556",-0.7935911227271875
2020-04,"107.6039,-6.8556",-0.1032131510571034
2020-05,"107.6039,-6.8556",0.7608044383290817
2020-06,"107.6039,-6.8556",0.4656782197443624
2020-07,"107.6039,-6.8556",-0.0654950503212124
2020-08,"107.6039,-6.8556",-0.9082573082762088
2020-09,"107.6039,-6.8556",-0.6620723559805224
2020-12,"107.6039,-6.8556",-0.0070508690759021
2021-03,"107.6039,-6.8556",0.4004754438768065
2021-04,"107.6039,-6.8556",0.6600800793822466
2021-05,"107.6039,-6.8556",0.4872811221496643
2021-06,"107.6039,-6.8556",0.2178674267035996
2021-07,"107.6039,-6.8556",-0.3147526093644879
2021-08,"107.6039,-6.8556",-0.8123347299744551
2021-09,"107.6039,-6.8556",-0.6696362052774758
2021-10,"107.6039,-6.8556",0.0872598074531437
2021-11,"107.6039,-6.8556",1.432934727424258
2022-03,"107.6039,-6.8556",1.7966952513531536
2022-07,"107.6039,-6.8556",1.2640034703120726
2022-08,"107.6039,-6.8556",-0.0541398987416292
2022-09,"107.6039,-6.8556",-0.2141884825788121
2013-07,"107.6307,-6.8554",0.9811989222505464
2013-08,"107.6307,-6.8554",-0.4518999023883917
2013-09,"107.6307,-6.8554",-0.6429261991560564
2013-10,"107.6307,-6.8554",-0.6803277159270426
2014-02,"107.6307,-6.8554",-0.0427541793852329
2014-04,"107.6307,-6.8554",0.724896744643069
2014-06,"107.6307,-6.8554",0.6068741847663918
2014-07,"107.6307,-6.8554",0.3014166484084615
2014-08,"107.6307,-6.8554",-0.5519567540311439
2014-09,"107.6307,-6.8554",-0.7673453810192491
2015-05,"107.6307,-6.8554",-0.3965406959551903
2015-06,"107.6307,-6.8554",-0.3891933489618881
2015-08,"107.6307,-6.8554",-0.8782331837310321
2015-10,"107.6307,-6.8554",-1.1067971919319477
2015-11,"107.6307,-6.8554",-0.5647016047485682
2016-05,"107.6307,-6.8554",0.1439121491994451
2016-08,"107.6307,-6.8554",0.359848917525441
2016-09,"107.6307,-6.8554",0.8258880298658616
2017-01,"107.6307,-6.8554",0.6704288294529742
2017-03,"107.6307,-6.8554",1.02845011393485
2017-04,"107.6307,-6.8554",0.9480260468926848
2017-05,"107.6307,-6.8554",0.9984930707803368
2017-06,"107.6307,-6.8554",0.6739863575989394
2017-07,"107.6307,-6.8554",-0.1607868535894015
2017-10,"107.6307,-6.8554",-0.0285066775367884
2017-12,"107.6307,-6.8554",0.3905649086604045
2018-03,"107.6307,-6.8554",0.9128959168994598
2018-04,"107.6307,-6.8554",0.7616322696821128
2018-05,"107.6307,-6.8554",0.433225332572654
2018-06,"107.6307,-6.8554",-0.1061643373391496
2018-07,"107.6307,-6.8554",-0.7022308099639398
2018-08,"107.6307,-6.8554",-1.071545022194836
2018-09,"107.6307,-6.8554",-1.0813102705600584
2018-10,"107.6307,-6.8554",-0.8971044732745075
2018-11,"107.6307,-6.8554",0.0265224140541299
2018-12,"107.6307,-6.8554",0.5897617905286849
2019-04,"107.6307,-6.8554",1.1597154202500737
2019-05,"107.6307,-6.8554",0.5265409321000765
2019-07,"107.6307,-6.8554",-0.1099705347228865
2019-08,"107.6307,-6.8554",-0.8612665745441361
2019-09,"107.6307,-6.8554",-1.1639808588172962
2019-10,"107.6307,-6.8554",-1.1106539622341665
2020-04,"107.6307,-6.8554",-0.4343982202331706
2020-05,"107.6307,-6.8554",0.4752485730683047
2020-06,"107.6307,-6.8554",0.4938379691676854
2020-07,"107.6307,-6.8554",-0.0265997061382748
2020-08,"107.6307,-6.8554",-0.8523288139142614
2020-09,"107.6307,-6.8554",-0.6111195296965927
2021-04,"107.6307,-6.8554",0.5239939374241902
2021-05,"107.6307,-6.8554",0.829566592391817
2021-06,"107.6307,-6.8554",0.2510357042307859
2021-07,"107.6307,-6.8554",-0.2708194963489263
2021-08,"107.6307,-6.8554",-0.7583449361966277
2022-03,"107.6307,-6.8554",-0.2621219807907977
2022-07,"107.6307,-6.8554",-0.042449162691616
2022-08,"107.6307,-6.8554",-0.0154740546345846
2022-09,"107.6307,-6.8554",-0.1722878809364079
2013-07,"107.6294,-6.8548",0.9378438207937756
2013-08,"107.6294,-6.8548",-0.4723784889137254
2013-09,"107.6294,-6.8548",-0.6603554384520365
2013-10,"107.6294,-6.8548",-0.6971599158966625
2014-02,"107.6294,-6.8548",-0.0697639472083906
2014-04,"107.6294,-6.8548",0.6856329874063832
2014-06,"107.6294,-6.8548",0.5694944182265412
2014-07,"107.6294,-6.8548",0.2689128916533324
2014-08,"107.6294,-6.8548",-0.5708381359385932
2014-09,"107.6294,-6.8548",-0.7827885205273324
2014-12,"107.6294,-6.8548",-0.1813932290607129
2015-05,"107.6294,-6.8548",0.5300386930067122
2015-06,"107.6294,-6.8548",-0.4106729183790484
2015-08,"107.6294,-6.8548",-0.8919062244637644
2015-10,"107.6294,-6.8548",-1.1168216720375268
2015-11,"107.6294,-6.8548",-0.5833795409740287
2016-05,"107.6294,-6.8548",0.1139226321924585
